stock_code,company_name,market_cap,bs_securities_assets,pl_dividend_income,asset_ratio,dividend_ratio
5070,株式会社ドラフト,5363282400.0,0.0,0.0,0.0,0.0
7483,株式会社ドウシシャ,91045500000.0,2683000000.0,449000000.0,0.03,0.17
4179,株式会社ジーネクスト,1491974064.0,0.0,0.0,0.0,0.0
2654,株式会社アスモ,5649085000.0,0.0,0.0,0.0,0.0
4320,株式会社ＣＥホールディングス,10785288000.0,438348000.0,2558000.0,0.04,0.01
8544,株式会社　京葉銀行,145883970000.0,0.0,0.0,0.0,0.0
6363,株式会社酉島製作所,60008372814.0,10463000000.0,307000000.0,0.17,0.03
4419,株式会社Ｆｉｎａｔｅｘｔホールディングス,57815338924.0,46153000.0,0.0,0.0,0.0
3020,アプライド株式会社,9393620000.0,33000000.0,0.0,0.0,0.0
6208,株式会社石川製作所,9251865000.0,1312554000.0,30952000.0,0.14,0.02
7859,株式会社アルメディオ,4639808468.0,0.0,1057423000.0,0.0,0.0
4538,扶桑薬品工業株式会社,20083734125.0,4375000000.0,107000000.0,0.22,0.02
3350,株式会社メタプラネット,48925982566.0,73654000.0,0.0,0.0,0.0
4679,株式会社　田　谷,1306872000.0,0.0,0.0,0.0,0.0
4074,株式会社ラキール,7664827500.0,712643000.0,0.0,0.09,0.0
3435,サンコーテクノ株式会社,11788809984.0,1175073000.0,18067000.0,0.1,0.02
7817,パラマウントベッドホールディングス株式会社,146070282912.0,21682000000.0,437000000.0,0.15,0.02
9336,大栄環境株式会社,299079342600.0,7763000000.0,78000000.0,0.03,0.01
3854,株式会社アイル,66713294592.0,146256000.0,18020000.0,0.0,0.12
2331,綜合警備保障株式会社,535965320605.0,62312000000.0,859000000.0,0.12,0.01
2937,株式会社サンクゼール,14970947200.0,55394000.0,52791000.0,0.0,0.95
9351,東洋埠頭株式会社,10874700000.0,8741000000.0,256000000.0,0.8,0.03
4182,三菱瓦斯化学株式会社,549180192000.0,236354000000.0,3205000000.0,0.43,0.01
8367,株式会社南都銀行,148942750000.0,0.0,0.0,0.0,0.0
4389,プロパティデータバンク株式会社,5695200000.0,29751000.0,1261000.0,0.01,0.04
3691,株式会社デジタルプラス,3927117600.0,24813000.0,0.0,0.01,0.0
4240,クラスターテクノロジー株式会社,1611062400.0,0.0,0.0,0.0,0.0
8473,ＳＢＩホールディングス株式会社,1728319145075.0,6191000000.0,267000000.0,0.0,0.04
1934,株式会社ユアテック,161630176000.0,11102000000.0,549000000.0,0.07,0.05
